date,open,high,low,close,volume,adjusted_close
2000-01-03,27.31,27.31,26.38,26.56,380300.0,26.56
2000-01-04,26.31,26.31,25.88,26.06,722200.0,26.06
2000-01-05,26.12,26.75,26.0,26.75,337800.0,26.75
2000-01-06,26.75,27.84,26.75,27.78,133100.0,27.78
2000-01-07,27.69,28.41,27.69,28.08,468000.0,28.08
2000-01-10,28.08,28.08,27.62,27.84,122100.0,27.84
2000-01-11,27.84,28.06,27.56,27.88,144800.0,27.88
2000-01-12,27.84,27.84,27.56,27.75,57300.0,27.75
2000-01-13,27.94,28.31,27.72,28.23,149200.0,28.23
2000-01-14,28.09,28.09,27.69,28.06,35700.0,28.06
2000-01-18,27.88,28.56,27.88,28.41,110500.0,28.41
2000-01-19,28.31,28.62,28.28,28.31,190300.0,28.31
2000-01-20,28.41,28.41,27.94,28.31,344300.0,28.31
2000-01-21,28.94,29.23,28.78,29.09,483300.0,29.09
2000-01-24,29.28,29.38,28.03,28.06,296500.0,28.06
2000-01-25,28.12,29.47,27.81,28.0,57800.0,28.0
2000-01-26,27.81,28.28,27.56,27.56,46900.0,27.56
2000-01-27,27.66,27.88,26.64,27.0,1688800.0,27.0
2000-01-28,26.94,26.97,26.5,26.69,33100.0,26.69
2000-01-31,26.19,27.31,26.12,27.31,101600.0,27.31
2000-02-01,27.31,27.31,27.0,27.25,114200.0,27.25
2000-02-02,27.31,27.61,27.22,27.42,29400.0,27.42
2000-02-03,27.38,27.38,26.72,27.09,96800.0,27.09
2000-02-04,26.84,27.0,26.16,26.31,65600.0,26.31
2000-02-07,26.31,26.72,26.31,26.61,55300.0,26.61
2000-02-08,26.75,27.06,26.38,26.38,149400.0,26.38
2000-02-09,26.12,26.12,25.5,25.5,86200.0,25.5
2000-02-10,25.75,26.44,25.72,26.03,615000.0,26.03
2000-02-11,26.28,26.44,25.31,25.72,207800.0,25.72
2000-02-14,25.88,26.25,25.59,26.12,523000.0,26.12
2000-02-15,26.62,27.22,26.44,27.22,300700.0,27.22
2000-02-16,26.62,27.5,27.16,27.34,123900.0,27.34
2000-02-17,27.41,27.48,26.94,27.31,88000.0,27.31
2000-02-18,27.19,27.19,26.44,26.52,141700.0,26.52
2000-02-22,26.62,26.62,26.0,26.28,74600.0,26.28
2000-02-23,26.06,26.06,25.41,25.59,76200.0,25.59
2000-02-24,25.25,25.44,24.94,25.31,316000.0,25.31
2000-02-25,25.16,25.53,24.69,24.81,662800.0,24.81
2000-02-28,25.06,25.84,24.62,25.56,456100.0,25.56
2000-02-29,25.62,26.34,25.62,26.16,80300.0,26.16
2000-03-01,25.62,26.91,25.94,26.81,880600.0,26.81
2000-03-02,25.62,27.41,26.88,27.31,392700.0,27.31
2000-03-03,25.62,27.25,26.59,26.88,611700.0,26.88
2000-03-06,25.62,27.0,26.53,26.72,279800.0,26.72
2000-03-07,25.62,28.56,26.66,28.56,499500.0,28.56
2000-03-08,27.75,28.84,27.75,28.09,1089400.0,28.09
2000-03-09,27.69,28.16,27.38,28.12,358400.0,28.12
2000-03-10,28.0,28.69,27.72,27.75,663100.0,27.75
2000-03-13,27.75,28.22,27.22,27.34,350600.0,27.34
2000-03-14,27.19,27.72,27.0,27.69,360400.0,27.69
2000-03-15,27.39,27.75,27.16,27.56,419500.0,27.56
2000-03-16,27.38,28.78,26.75,28.75,566300.0,28.75
2000-03-17,28.62,28.62,27.77,27.78,149800.0,27.78
2000-03-20,27.91,27.91,27.22,27.34,237500.0,27.34
2000-03-21,27.69,28.22,26.0,28.22,176500.0,28.22
2000-03-22,28.16,28.34,27.88,28.0,41900.0,28.0
2000-03-23,27.81,28.31,27.66,27.97,41500.0,27.97
2000-03-24,28.19,28.41,27.94,28.03,161400.0,28.03
2000-03-27,27.94,28.44,27.59,28.12,219100.0,28.12
2000-03-28,28.19,28.34,27.81,28.0,69300.0,28.0
2000-03-29,27.88,29.56,27.88,29.47,232800.0,29.47
2000-03-30,29.72,30.22,29.22,29.47,177900.0,29.47
2000-03-31,29.38,29.98,29.31,29.31,627900.0,29.31
2000-04-03,29.5,29.81,29.39,29.81,140700.0,29.81
2000-04-04,30.0,30.16,28.94,29.44,414600.0,29.44
2000-04-05,29.48,29.56,28.56,28.56,50800.0,28.56
2000-04-06,28.69,29.38,28.69,29.31,38000.0,29.31
2000-04-07,29.31,29.38,28.81,28.86,255400.0,28.86
2000-04-10,28.69,28.8,28.33,28.44,27000.0,28.44
2000-04-11,28.44,29.16,28.44,28.94,487900.0,28.94
2000-04-12,29.06,29.56,28.95,29.19,242200.0,29.19
2000-04-13,29.25,29.38,29.02,29.12,440800.0,29.12
2000-04-14,29.12,29.38,28.22,28.5,1849100.0,28.5
2000-04-17,28.25,28.41,27.52,27.81,216100.0,27.81
2000-04-18,27.62,28.05,27.62,27.95,79600.0,27.95
2000-04-19,28.0,28.61,28.0,28.56,377800.0,28.56
2000-04-20,28.56,28.77,28.31,28.61,235600.0,28.61
2000-04-24,28.81,29.0,28.45,28.92,22000.0,28.92
2000-04-25,28.81,29.3,28.92,28.97,430800.0,28.97
2000-04-26,29.06,29.41,28.91,29.34,429500.0,29.34
2000-04-27,29.12,29.78,29.02,29.75,27500.0,29.75
2000-04-28,29.69,29.69,28.88,28.88,53000.0,28.88
2000-05-01,29.19,29.56,29.03,29.34,34700.0,29.34
2000-05-02,29.19,30.0,29.34,29.77,148000.0,29.77
2000-05-03,29.75,29.75,29.0,29.0,79100.0,29.0
2000-05-04,29.19,29.8,29.19,29.75,44000.0,29.75
2000-05-05,29.75,30.11,29.62,30.06,35600.0,30.06
2000-05-08,29.88,30.59,29.88,30.44,83000.0,30.44
2000-05-09,30.75,30.78,30.19,30.45,122400.0,30.45
2000-05-10,30.44,30.72,30.22,30.55,353700.0,30.55
2000-05-11,30.69,31.55,30.69,31.5,130800.0,31.5
2000-05-12,31.38,31.62,31.33,31.61,45100.0,31.61
2000-05-15,31.69,32.31,31.5,32.27,1278300.0,32.27
2000-05-16,32.0,32.12,31.38,31.64,930400.0,31.64
2000-05-17,31.81,31.81,31.36,31.8,45600.0,31.8
2000-05-18,31.75,31.98,31.38,31.75,889700.0,31.75
2000-05-19,31.53,31.98,31.39,31.81,71400.0,31.81
2000-05-22,31.56,31.92,31.55,31.55,107900.0,31.55
2000-05-23,31.5,31.75,31.22,31.42,140300.0,31.42
2000-05-24,31.38,31.61,31.06,31.45,64800.0,31.45
2000-05-25,31.5,31.5,30.59,30.88,331800.0,30.88
2000-05-26,30.94,31.36,30.89,30.89,34600.0,30.89
2000-05-30,31.09,31.5,31.0,31.33,62400.0,31.33
2000-05-31,31.31,32.41,31.31,32.27,114700.0,32.27
2000-06-01,32.16,32.16,31.38,31.97,41300.0,31.97
2000-06-02,31.88,31.91,30.69,30.88,49600.0,30.88
2000-06-05,30.69,31.03,30.38,30.44,1123300.0,30.44
2000-06-06,30.69,31.62,30.59,31.62,65700.0,31.62
2000-06-07,31.5,31.61,31.03,31.22,37900.0,31.22
2000-06-08,31.16,31.5,31.06,31.38,74500.0,31.38
2000-06-09,31.36,31.41,31.0,31.17,129800.0,31.17
2000-06-12,31.12,32.06,31.12,31.88,257500.0,31.88
2000-06-13,31.94,32.12,31.78,31.88,357100.0,31.88
2000-06-14,32.06,32.5,31.44,31.83,216200.0,31.83
2000-06-15,31.97,32.0,31.17,31.38,251400.0,31.38
2000-06-16,31.38,32.19,31.38,31.75,478500.0,31.75
2000-06-19,31.81,32.06,31.22,31.48,234700.0,31.48
2000-06-20,31.38,31.47,30.7,31.31,90400.0,31.31
2000-06-21,31.12,31.97,31.06,31.88,160700.0,31.88
2000-06-22,32.02,32.12,31.03,31.03,94300.0,31.03
2000-06-23,31.25,31.75,31.25,31.42,79000.0,31.42
2000-06-26,31.69,31.69,30.91,31.17,44500.0,31.17
2000-06-27,31.22,31.22,30.62,30.95,14600.0,30.95
2000-06-28,30.77,30.88,30.44,30.69,90100.0,30.69
2000-06-29,30.62,31.0,30.56,30.75,544400.0,30.75
2000-06-30,30.59,30.81,30.09,30.34,127600.0,30.34
2000-07-03,30.19,30.64,30.19,30.53,54000.0,30.53
2000-07-05,30.0,30.11,29.25,29.27,1032400.0,29.27
2000-07-06,29.69,30.12,29.56,29.56,217800.0,29.56
2000-07-07,29.81,29.91,29.62,29.7,522000.0,29.7
2000-07-10,29.69,30.11,29.69,29.84,173300.0,29.84
2000-07-11,30.0,30.98,30.0,30.91,71100.0,30.91
2000-07-12,31.0,31.05,30.5,30.5,154300.0,30.5
2000-07-13,30.22,30.34,29.88,30.03,68900.0,30.03
2000-07-14,30.19,30.19,29.69,30.0,211700.0,30.0
2000-07-17,30.06,30.19,29.61,29.61,228000.0,29.61
2000-07-18,29.62,30.19,29.62,29.88,101000.0,29.88
2000-07-19,30.0,30.09,29.66,29.8,57200.0,29.8
2000-07-20,29.75,29.94,29.5,29.5,185600.0,29.5
2000-07-21,29.56,29.59,28.91,28.94,37500.0,28.94
2000-07-24,29.25,29.25,28.47,28.64,116300.0,28.64
2000-07-25,28.72,29.0,28.28,28.38,487700.0,28.38
2000-07-26,28.66,28.78,28.44,28.61,35000.0,28.61
2000-07-27,28.52,29.66,28.52,29.59,156200.0,29.59
2000-07-28,29.62,29.81,29.38,29.38,29500.0,29.38
2000-07-31,29.62,29.75,29.16,29.19,267200.0,29.19
2000-08-01,29.44,29.84,29.34,29.73,73900.0,29.73
2000-08-02,30.0,30.41,29.97,30.3,105800.0,30.3
2000-08-03,30.5,30.62,29.88,29.88,44100.0,29.88
2000-08-04,29.88,30.19,29.66,30.0,30000.0,30.0
2000-08-07,29.88,30.59,30.03,30.39,34600.0,30.39
2000-08-08,30.38,30.56,30.31,30.45,29800.0,30.45
2000-08-09,30.75,31.75,30.62,31.0,48900.0,31.0
2000-08-10,30.75,31.38,31.03,31.28,54000.0,31.28
2000-08-11,31.5,31.5,31.02,31.25,158400.0,31.25
2000-08-14,31.31,31.84,31.25,31.69,173100.0,31.69
2000-08-15,32.0,32.09,31.56,31.56,268900.0,31.56
2000-08-16,31.62,32.12,31.56,32.0,42500.0,32.0
2000-08-17,32.38,32.88,32.38,32.75,226200.0,32.75
2000-08-18,32.81,32.81,32.25,32.38,718800.0,32.38
2000-08-21,32.44,32.5,32.25,32.5,78200.0,32.5
2000-08-22,32.5,32.75,32.34,32.41,650000.0,32.41
2000-08-23,32.75,33.38,32.75,33.25,203200.0,33.25
2000-08-24,33.38,33.38,32.44,32.53,239100.0,32.53
2000-08-25,32.56,32.62,32.19,32.62,261800.0,32.62
