date,open,high,low,close,volume,adjusted_close
2000-01-03,26.88,26.94,26.0,26.25,102900.0,26.25
2000-01-04,25.56,25.69,25.0,25.0,84400.0,25.0
2000-01-05,25.38,25.62,24.94,25.62,158700.0,25.62
2000-01-06,25.19,25.69,25.12,25.56,133600.0,25.56
2000-01-07,26.0,27.0,26.0,27.0,182100.0,27.0
2000-01-10,26.94,27.0,26.62,26.94,186800.0,26.94
2000-01-11,26.56,27.25,26.44,26.88,117600.0,26.88
2000-01-12,26.69,26.81,26.38,26.81,38100.0,26.81
2000-01-13,27.19,27.19,26.62,27.12,242400.0,27.12
2000-01-14,27.44,27.69,27.25,27.69,220600.0,27.69
2000-01-18,27.31,27.38,27.06,27.38,86700.0,27.38
2000-01-19,26.75,27.0,26.56,26.94,41900.0,26.94
2000-01-20,26.94,27.38,26.81,27.38,250100.0,27.38
2000-01-21,26.81,26.94,26.0,26.56,49200.0,26.56
2000-01-24,26.62,26.69,26.0,26.06,64300.0,26.06
2000-01-25,25.94,26.06,25.69,25.94,58600.0,25.94
2000-01-26,25.94,26.12,25.88,26.12,30100.0,26.12
2000-01-27,26.25,26.62,26.12,26.44,62600.0,26.44
2000-01-28,26.31,26.31,25.38,25.38,171600.0,25.38
2000-01-31,25.19,25.25,24.94,25.19,45700.0,25.19
2000-02-01,25.44,25.62,25.31,25.5,164000.0,25.5
2000-02-02,26.0,26.31,25.88,26.31,128300.0,26.31
2000-02-03,27.06,27.44,27.0,27.44,52900.0,27.44
2000-02-04,27.5,27.69,27.0,27.69,59000.0,27.69
2000-02-07,27.25,27.5,26.81,27.0,33000.0,27.0
2000-02-08,27.69,27.94,27.44,27.94,274300.0,27.94
2000-02-09,29.12,29.12,28.5,28.62,180100.0,28.62
2000-02-10,28.69,28.69,28.31,28.38,60000.0,28.38
2000-02-11,28.56,28.56,27.88,27.88,57200.0,27.88
2000-02-14,28.5,28.5,28.06,28.38,46600.0,28.38
2000-02-15,28.19,28.31,27.44,27.62,88000.0,27.62
2000-02-16,27.56,28.12,27.38,28.06,102800.0,28.06
2000-02-17,28.56,28.56,28.12,28.44,38000.0,28.44
2000-02-18,28.25,28.44,27.75,27.75,61700.0,27.75
2000-02-22,29.06,29.12,28.75,29.06,178800.0,29.06
2000-02-23,29.12,29.38,29.0,29.25,166600.0,29.25
2000-02-24,28.94,29.0,28.12,28.56,115800.0,28.56
2000-02-25,28.25,28.38,28.06,28.25,44300.0,28.25
2000-02-28,27.38,27.88,27.12,27.62,42100.0,27.62
2000-02-29,27.69,28.0,27.62,27.88,102800.0,27.88
2000-03-01,27.69,28.12,27.56,28.12,27800.0,28.12
2000-03-02,27.69,28.75,27.94,28.69,38600.0,28.69
2000-03-03,27.69,29.31,28.88,29.06,43100.0,29.06
2000-03-06,27.69,28.94,28.56,28.56,30500.0,28.56
2000-03-07,29.25,29.25,28.38,28.38,77800.0,28.38
2000-03-08,28.62,28.88,28.31,28.88,34400.0,28.88
2000-03-09,28.25,28.81,28.06,28.81,131100.0,28.81
2000-03-10,28.44,28.5,28.25,28.25,24800.0,28.25
2000-03-13,27.19,27.75,27.12,27.5,231000.0,27.5
2000-03-14,27.81,27.81,27.25,27.25,29200.0,27.25
2000-03-15,26.44,27.0,26.44,27.0,97600.0,27.0
2000-03-16,27.44,27.75,27.19,27.75,63300.0,27.75
2000-03-17,26.94,28.06,26.94,28.0,116800.0,28.0
2000-03-20,28.19,28.69,28.12,28.38,202900.0,28.38
2000-03-21,28.19,28.44,27.94,28.38,138700.0,28.38
2000-03-22,27.81,28.25,27.81,28.19,185100.0,28.19
2000-03-23,27.31,28.5,27.31,28.5,205800.0,28.5
2000-03-24,28.12,28.75,28.12,28.44,382200.0,28.44
2000-03-27,28.31,28.31,27.81,28.0,64500.0,28.0
2000-03-28,28.19,28.19,28.0,28.06,85500.0,28.06
2000-03-29,28.06,28.12,27.62,27.75,65800.0,27.75
2000-03-30,27.0,27.31,26.88,27.12,63100.0,27.12
2000-03-31,27.19,27.44,27.0,27.0,47700.0,27.0
2000-04-03,26.5,26.62,26.25,26.62,61900.0,26.62
2000-04-04,26.56,26.62,25.5,26.38,114600.0,26.38
2000-04-05,25.69,26.44,25.69,26.38,222000.0,26.38
2000-04-06,26.56,26.62,26.31,26.62,32700.0,26.62
2000-04-07,26.5,26.75,26.31,26.56,49300.0,26.56
2000-04-10,26.88,27.12,26.75,26.75,36600.0,26.75
2000-04-11,26.25,26.75,26.19,26.44,77900.0,26.44
2000-04-12,26.38,26.38,26.0,26.19,37000.0,26.19
2000-04-13,26.19,26.25,25.94,26.06,45800.0,26.06
2000-04-14,25.56,25.81,25.06,25.06,86600.0,25.06
2000-04-17,24.5,25.75,24.5,25.75,90400.0,25.75
2000-04-18,25.25,25.62,25.12,25.38,68000.0,25.38
2000-04-19,25.19,25.19,24.81,24.88,71300.0,24.88
2000-04-20,24.94,25.0,24.62,24.88,13300.0,24.88
2000-04-24,24.69,24.69,24.38,24.5,52200.0,24.5
2000-04-25,25.06,25.12,24.88,25.06,53600.0,25.06
2000-04-26,25.25,25.38,25.06,25.25,34700.0,25.25
2000-04-27,24.12,24.5,24.12,24.5,44800.0,24.5
2000-04-28,24.69,24.75,24.38,24.62,36800.0,24.62
2000-05-01,24.75,24.94,24.56,24.94,45500.0,24.94
2000-05-02,25.12,25.38,24.88,24.88,30700.0,24.88
2000-05-03,24.56,24.69,24.19,24.38,52100.0,24.38
2000-05-04,24.31,24.31,24.0,24.19,68200.0,24.19
2000-05-05,24.06,24.69,24.06,24.62,27500.0,24.62
2000-05-08,24.38,24.44,24.12,24.31,44900.0,24.31
2000-05-09,24.25,24.25,23.94,24.12,22200.0,24.12
2000-05-10,24.0,24.12,23.5,23.81,60500.0,23.81
2000-05-11,23.75,24.19,23.75,24.07,22500.0,24.07
2000-05-12,24.38,24.62,24.19,24.5,82200.0,24.5
2000-05-15,24.44,24.44,24.12,24.31,53000.0,24.31
2000-05-16,24.31,24.75,24.31,24.75,37300.0,24.75
2000-05-17,23.81,23.94,23.56,23.75,90200.0,23.75
2000-05-18,23.69,23.69,23.31,23.31,104600.0,23.31
2000-05-19,22.69,22.88,22.62,22.81,33000.0,22.81
2000-05-22,22.94,23.0,22.56,22.94,49900.0,22.94
2000-05-23,22.94,23.25,22.88,22.88,59100.0,22.88
2000-05-24,22.94,23.19,22.88,23.12,80800.0,23.12
2000-05-25,22.94,23.31,23.0,23.06,58700.0,23.06
2000-05-26,22.94,23.94,23.31,23.94,67900.0,23.94
2000-05-30,22.94,24.81,24.38,24.62,172500.0,24.62
2000-05-31,22.94,24.81,24.38,24.75,178400.0,24.75
2000-06-01,22.94,25.0,24.69,25.0,46300.0,25.0
2000-06-02,22.94,26.0,25.62,25.89,31700.0,25.89
2000-06-05,22.94,25.94,25.69,25.75,65800.0,25.75
2000-06-06,22.94,26.0,25.69,25.81,80000.0,25.81
2000-06-07,22.94,25.75,25.44,25.55,59900.0,25.55
2000-06-08,22.94,25.75,25.25,25.44,76300.0,25.44
2000-06-09,22.94,25.56,25.19,25.25,32900.0,25.25
2000-06-12,22.94,25.75,25.25,25.62,80200.0,25.62
2000-06-13,22.94,25.81,25.62,25.81,54500.0,25.81
2000-06-14,22.94,25.88,25.75,25.88,21500.0,25.88
2000-06-15,22.94,25.75,25.5,25.62,27300.0,25.62
2000-06-16,22.94,25.88,25.56,25.69,22100.0,25.69
2000-06-19,22.94,25.62,25.25,25.56,102800.0,25.56
2000-06-20,22.94,25.38,25.06,25.38,101300.0,25.38
2000-06-21,22.94,24.75,24.44,24.75,32900.0,24.75
2000-06-22,22.94,24.5,24.25,24.38,127400.0,24.38
2000-06-23,22.94,24.44,23.94,24.0,36100.0,24.0
2000-06-26,22.94,23.56,23.25,23.56,115500.0,23.56
2000-06-27,22.94,24.31,23.88,24.31,26600.0,24.31
2000-06-28,22.94,24.44,24.19,24.31,29000.0,24.31
2000-06-29,22.94,24.19,23.81,23.81,13400.0,23.81
2000-06-30,22.94,24.38,24.12,24.25,19900.0,24.25
2000-07-03,22.94,24.12,23.62,24.0,187100.0,24.0
2000-07-05,22.94,24.69,24.25,24.25,29400.0,24.25
2000-07-06,22.94,24.38,24.19,24.31,20100.0,24.31
2000-07-07,22.94,24.5,24.25,24.5,23300.0,24.5
2000-07-10,22.94,24.75,24.62,24.75,13600.0,24.75
2000-07-11,22.94,24.5,24.31,24.5,22900.0,24.5
2000-07-12,22.94,24.62,24.12,24.44,56400.0,24.44
2000-07-13,22.94,24.62,24.38,24.56,47100.0,24.56
2000-07-14,22.94,25.12,24.88,25.0,103900.0,25.0
2000-07-17,22.94,25.31,25.0,25.31,120700.0,25.31
2000-07-18,22.94,25.44,25.0,25.12,54000.0,25.12
2000-07-19,22.94,25.0,24.56,24.81,180500.0,24.81
2000-07-20,22.94,25.38,24.81,25.31,310500.0,25.31
2000-07-21,22.94,25.19,24.94,25.12,99200.0,25.12
2000-07-24,22.94,24.94,24.44,24.56,40600.0,24.56
2000-07-25,22.94,24.94,24.56,24.81,16600.0,24.81
2000-07-26,22.94,24.88,24.62,24.75,31300.0,24.75
2000-07-27,22.94,24.69,24.25,24.38,37700.0,24.38
2000-07-28,22.94,24.19,23.56,23.88,137800.0,23.88
2000-07-31,22.94,24.31,23.94,24.19,32500.0,24.19
2000-08-01,22.94,24.12,23.69,23.69,69800.0,23.69
2000-08-02,22.94,23.62,23.38,23.5,27300.0,23.5
2000-08-03,22.94,23.25,22.81,23.19,29400.0,23.19
2000-08-04,22.94,23.44,23.06,23.31,11000.0,23.31
