date,open,high,low,close,volume,adjusted_close
2000-01-03,14.38,14.56,14.06,14.25,106600.0,14.25
2000-01-04,14.0,14.06,13.69,13.75,85200.0,13.75
2000-01-05,12.94,13.44,12.94,13.38,170200.0,13.38
2000-01-06,12.69,12.75,12.31,12.56,208900.0,12.56
2000-01-07,12.88,13.31,12.88,13.31,121200.0,13.31
2000-01-10,13.31,13.38,13.19,13.19,71100.0,13.19
2000-01-11,13.12,13.19,12.81,13.06,124600.0,13.06
2000-01-12,13.12,13.25,12.94,13.12,56800.0,13.12
2000-01-13,13.19,13.31,13.0,13.12,85100.0,13.12
2000-01-14,13.44,13.44,13.25,13.38,70100.0,13.38
2000-01-18,13.06,13.19,13.0,13.0,94700.0,13.0
2000-01-19,12.75,12.94,12.62,12.75,146200.0,12.75
2000-01-20,12.94,12.94,12.75,12.81,45400.0,12.81
2000-01-21,12.81,12.94,12.75,12.75,82100.0,12.75
2000-01-24,12.94,13.0,12.38,12.38,93800.0,12.38
2000-01-25,12.75,12.81,12.62,12.69,28400.0,12.69
2000-01-26,12.94,13.12,12.94,13.12,57000.0,13.12
2000-01-27,13.25,13.44,13.12,13.38,132300.0,13.38
2000-01-28,13.31,13.38,12.88,13.12,71700.0,13.12
2000-01-31,12.81,13.0,12.62,13.0,55000.0,13.0
2000-02-01,13.12,13.19,12.94,13.19,64400.0,13.19
2000-02-02,13.19,13.38,12.94,13.12,288200.0,13.12
2000-02-03,13.25,13.31,13.06,13.25,167400.0,13.25
2000-02-04,13.25,13.31,13.06,13.25,116700.0,13.25
2000-02-07,13.31,13.31,13.06,13.31,48500.0,13.31
2000-02-08,13.25,13.31,13.19,13.31,84900.0,13.31
2000-02-09,13.44,13.5,13.31,13.31,69900.0,13.31
2000-02-10,13.44,13.56,13.38,13.44,57800.0,13.44
2000-02-11,13.88,13.94,13.5,13.88,79400.0,13.88
2000-02-14,13.88,13.88,13.69,13.69,38300.0,13.69
2000-02-15,13.5,13.5,13.31,13.5,98800.0,13.5
2000-02-16,13.81,13.81,13.56,13.69,36700.0,13.69
2000-02-17,13.88,13.88,13.62,13.75,62300.0,13.75
2000-02-18,13.5,13.69,13.12,13.25,21100.0,13.25
2000-02-22,13.19,13.25,12.81,13.0,36300.0,13.0
2000-02-23,13.19,13.5,13.06,13.5,23300.0,13.5
2000-02-24,13.56,13.69,13.19,13.56,105800.0,13.56
2000-02-25,13.5,13.75,13.44,13.69,74800.0,13.69
2000-02-28,13.19,13.44,13.12,13.44,55200.0,13.44
2000-02-29,13.44,13.5,13.25,13.31,117400.0,13.31
2000-03-01,13.44,13.19,13.0,13.12,34000.0,13.12
2000-03-02,13.44,13.12,12.94,13.12,71600.0,13.12
2000-03-03,13.44,13.62,13.31,13.56,168700.0,13.56
2000-03-06,13.44,13.75,13.56,13.62,162400.0,13.62
2000-03-07,13.88,13.94,13.44,13.5,72000.0,13.5
2000-03-08,14.0,14.12,13.88,14.06,68900.0,14.06
2000-03-09,14.0,14.0,13.75,14.0,58200.0,14.0
2000-03-10,14.06,14.12,13.94,14.0,101200.0,14.0
2000-03-13,13.44,13.69,13.38,13.44,130800.0,13.44
2000-03-14,13.62,13.62,13.19,13.25,35700.0,13.25
2000-03-15,13.25,13.5,13.19,13.44,54100.0,13.44
2000-03-16,13.12,13.56,13.12,13.38,37700.0,13.38
2000-03-17,13.62,13.62,13.5,13.56,12700.0,13.56
2000-03-20,13.5,13.5,13.25,13.25,24600.0,13.25
2000-03-21,13.25,13.44,13.25,13.44,20700.0,13.44
2000-03-22,13.44,13.62,13.44,13.5,32900.0,13.5
2000-03-23,13.56,13.75,13.56,13.75,69200.0,13.75
2000-03-24,13.94,13.94,13.75,13.81,59800.0,13.81
2000-03-27,14.06,14.12,13.94,14.06,50100.0,14.06
2000-03-28,14.12,14.12,13.88,13.88,52000.0,13.88
2000-03-29,14.0,14.0,13.81,13.81,50100.0,13.81
2000-03-30,13.56,13.75,13.38,13.5,63900.0,13.5
2000-03-31,13.56,13.69,13.5,13.69,24500.0,13.69
2000-04-03,13.38,13.38,13.12,13.25,58800.0,13.25
2000-04-04,13.25,13.31,12.5,13.19,192700.0,13.19
2000-04-05,12.88,13.19,12.88,13.06,41200.0,13.06
2000-04-06,13.12,13.25,13.12,13.25,65800.0,13.25
2000-04-07,13.38,13.5,13.38,13.5,42800.0,13.5
2000-04-10,13.44,13.44,13.25,13.31,55100.0,13.31
2000-04-11,13.25,13.25,12.94,12.94,63700.0,12.94
2000-04-12,13.38,13.5,13.12,13.12,77900.0,13.12
2000-04-13,13.06,13.06,12.94,13.0,30500.0,13.0
2000-04-14,12.75,13.0,12.0,12.06,163400.0,12.06
2000-04-17,12.0,12.12,11.62,12.12,114800.0,12.12
2000-04-18,12.38,12.69,12.25,12.56,48400.0,12.56
2000-04-19,12.56,12.56,12.38,12.44,14100.0,12.44
2000-04-20,12.38,12.5,12.19,12.25,45800.0,12.25
2000-04-24,12.19,12.31,12.0,12.0,105200.0,12.0
2000-04-25,12.31,12.44,12.25,12.38,31500.0,12.38
2000-04-26,12.31,12.44,12.12,12.19,39600.0,12.19
2000-04-27,12.12,12.5,12.12,12.5,31800.0,12.5
2000-04-28,12.62,12.75,12.5,12.56,90800.0,12.56
2000-05-01,12.56,12.75,12.56,12.75,20300.0,12.75
2000-05-02,12.62,12.69,12.38,12.38,27000.0,12.38
2000-05-03,12.25,12.31,12.12,12.25,24300.0,12.25
2000-05-04,12.19,12.31,12.12,12.25,12300.0,12.25
2000-05-05,12.06,12.38,12.06,12.31,38800.0,12.31
2000-05-08,11.88,12.06,11.81,11.88,16200.0,11.88
2000-05-09,11.94,11.94,11.56,11.62,68900.0,11.62
2000-05-10,11.62,11.62,11.19,11.38,60600.0,11.38
2000-05-11,11.81,11.81,11.56,11.75,20300.0,11.75
2000-05-12,12.19,12.25,12.06,12.12,84700.0,12.12
2000-05-15,11.81,12.12,11.81,12.12,72500.0,12.12
2000-05-16,12.31,12.38,12.12,12.25,79800.0,12.25
