date,open,high,low,close,volume,adjusted_close
2000-01-03,26.67,26.69,25.94,25.97,140500.0,25.97
2000-01-04,26.0,26.05,25.61,25.72,258000.0,25.72
2000-01-05,26.02,26.81,25.75,26.78,102700.0,26.78
2000-01-06,26.8,27.73,26.78,27.47,1335000.0,27.47
2000-01-07,27.75,27.94,27.45,27.45,619400.0,27.45
2000-01-10,27.7,27.7,27.14,27.36,171200.0,27.36
2000-01-11,27.14,27.25,26.83,27.03,39700.0,27.03
2000-01-12,27.14,27.03,26.61,26.64,135300.0,26.64
2000-01-13,26.89,26.97,26.62,26.75,45900.0,26.75
2000-01-14,26.52,26.72,26.44,26.56,76000.0,26.56
2000-01-18,26.22,26.31,25.69,25.92,34400.0,25.92
2000-01-19,25.78,25.95,25.42,25.42,125700.0,25.42
2000-01-20,25.69,25.69,24.75,24.75,99400.0,24.75
2000-01-21,25.12,25.12,24.56,24.86,180100.0,24.86
2000-01-24,24.77,24.77,23.86,24.2,190900.0,24.2
2000-01-25,24.11,24.25,23.39,23.75,63400.0,23.75
2000-01-26,23.97,24.39,23.75,23.75,300700.0,23.75
2000-01-27,24.0,24.17,23.75,23.88,54300.0,23.88
2000-01-28,24.0,23.86,22.84,23.47,29400.0,23.47
2000-01-31,23.25,23.38,23.11,23.33,16300.0,23.33
2000-02-01,23.33,23.88,23.33,23.75,42700.0,23.75
2000-02-02,23.88,23.88,23.56,23.86,49000.0,23.86
2000-02-03,23.98,23.98,23.31,23.45,183800.0,23.45
2000-02-04,23.61,23.61,23.28,23.42,105000.0,23.42
2000-02-07,23.55,23.55,22.95,22.97,49100.0,22.97
2000-02-08,23.0,23.28,22.73,22.91,134700.0,22.91
2000-02-09,22.89,23.02,22.45,22.45,33500.0,22.45
2000-02-10,22.5,22.5,22.09,22.27,131100.0,22.27
2000-02-11,22.2,22.44,21.47,21.72,24300.0,21.72
2000-02-14,22.0,22.25,21.64,22.08,24100.0,22.08
2000-02-15,22.16,23.03,22.02,23.03,32600.0,23.03
2000-02-16,23.0,23.06,22.45,22.5,17400.0,22.5
2000-02-17,22.75,22.97,22.39,22.45,45700.0,22.45
2000-02-18,22.58,22.58,21.72,21.77,90500.0,21.77
2000-02-22,22.12,22.62,21.83,22.45,48900.0,22.45
2000-02-23,22.47,22.55,22.02,22.2,56300.0,22.2
2000-02-24,21.97,21.97,21.12,21.41,18800.0,21.41
2000-02-25,21.47,21.47,21.0,21.06,24900.0,21.06
2000-02-28,21.0,21.53,20.83,21.12,199600.0,21.12
2000-02-29,21.2,21.3,20.77,20.98,29100.0,20.98
2000-03-01,21.2,21.23,20.58,20.77,119700.0,20.77
2000-03-02,21.2,20.75,20.16,20.31,184000.0,20.31
2000-03-03,21.2,21.53,20.5,20.97,162400.0,20.97
2000-03-06,21.2,21.16,20.25,20.47,20900.0,20.47
2000-03-07,20.58,20.59,19.75,19.81,198400.0,19.81
2000-03-08,19.81,20.3,19.69,20.23,112600.0,20.23
2000-03-09,19.89,20.25,19.83,20.2,112400.0,20.2
2000-03-10,20.19,20.73,20.19,20.38,27700.0,20.38
2000-03-13,20.0,20.73,19.97,20.69,47000.0,20.69
2000-03-14,20.86,20.86,20.16,20.33,16400.0,20.33
2000-03-15,20.86,22.5,20.17,21.55,444600.0,21.55
2000-03-16,21.62,22.94,21.62,22.91,233900.0,22.91
2000-03-17,22.86,22.86,22.0,22.0,65200.0,22.0
2000-03-20,22.31,22.69,22.16,22.27,27500.0,22.27
2000-03-21,22.39,22.75,22.12,22.53,45400.0,22.53
2000-03-22,22.33,22.45,21.84,21.95,120400.0,21.95
2000-03-23,22.08,22.73,21.97,22.62,31700.0,22.62
2000-03-24,22.61,22.77,22.45,22.52,12000.0,22.52
2000-03-27,22.64,22.81,22.19,22.42,39900.0,22.42
2000-03-28,22.16,22.56,21.94,22.0,114000.0,22.0
2000-03-29,22.12,22.45,21.95,22.45,27500.0,22.45
2000-03-30,22.52,23.3,22.38,23.06,103600.0,23.06
2000-03-31,23.14,23.48,22.94,23.05,152600.0,23.05
2000-04-03,23.44,23.8,23.38,23.8,114700.0,23.8
2000-04-04,24.16,24.53,23.16,23.58,185500.0,23.58
2000-04-05,23.86,23.97,23.25,23.39,30400.0,23.39
2000-04-06,23.36,23.73,23.23,23.25,22600.0,23.25
2000-04-07,23.5,23.5,22.88,22.88,43700.0,22.88
2000-04-10,23.19,23.75,22.95,23.44,42600.0,23.44
2000-04-11,23.81,24.39,23.75,24.0,393100.0,24.0
2000-04-12,24.06,25.16,24.06,24.62,240800.0,24.62
2000-04-13,24.12,24.38,23.92,23.94,613200.0,23.94
2000-04-14,23.38,23.62,22.38,22.62,145200.0,22.62
2000-04-17,22.97,22.97,22.38,22.66,52800.0,22.66
2000-04-18,22.53,22.7,22.0,22.23,24000.0,22.23
2000-04-19,22.31,22.55,21.78,21.95,27500.0,21.95
2000-04-20,22.31,22.52,22.09,22.5,139000.0,22.5
2000-04-24,22.31,22.78,22.31,22.55,19900.0,22.55
2000-04-25,22.7,22.81,22.28,22.58,231900.0,22.58
2000-04-26,22.58,22.66,22.16,22.19,29900.0,22.19
2000-04-27,22.19,22.41,22.0,22.11,64400.0,22.11
2000-04-28,22.19,22.47,22.03,22.28,31200.0,22.28
2000-05-01,22.08,22.38,22.0,22.25,21100.0,22.25
2000-05-02,22.25,22.94,22.25,22.94,27200.0,22.94
2000-05-03,22.84,22.84,22.25,22.56,89400.0,22.56
2000-05-04,22.66,22.98,22.45,22.8,100300.0,22.8
2000-05-05,22.78,23.0,22.77,22.78,10300.0,22.78
2000-05-08,22.88,23.06,22.66,22.66,276500.0,22.66
2000-05-09,22.97,23.16,22.86,23.06,1003200.0,23.06
2000-05-10,22.81,23.12,22.67,22.78,46200.0,22.78
2000-05-11,22.81,23.09,22.78,23.08,32700.0,23.08
2000-05-12,23.23,23.23,22.94,23.16,14000.0,23.16
2000-05-15,23.12,23.78,23.12,23.56,41500.0,23.56
2000-05-16,23.75,23.78,23.22,23.31,1223000.0,23.31
2000-05-17,23.22,23.59,23.12,23.38,14000.0,23.38
2000-05-18,23.31,23.39,23.0,23.19,210200.0,23.19
2000-05-19,23.11,23.33,23.06,23.25,22200.0,23.25
2000-05-22,23.34,23.34,22.94,23.12,51500.0,23.12
2000-05-23,22.94,22.95,22.61,22.8,52800.0,22.8
2000-05-24,22.56,22.89,22.5,22.7,44700.0,22.7
2000-05-25,22.45,22.45,21.72,21.88,39700.0,21.88
2000-05-26,21.75,21.77,21.5,21.53,28000.0,21.53
2000-05-30,21.72,21.94,21.47,21.77,11600.0,21.77
2000-05-31,21.78,21.98,21.58,21.58,15400.0,21.58
2000-06-01,21.78,21.64,21.23,21.64,14000.0,21.64
2000-06-02,21.7,22.0,21.7,22.0,29000.0,22.0
2000-06-05,22.06,22.06,21.69,21.81,31600.0,21.81
2000-06-06,21.78,21.94,21.62,21.84,8300.0,21.84
2000-06-07,21.84,21.84,21.31,21.38,57500.0,21.38
2000-06-08,21.23,21.41,21.14,21.34,56000.0,21.34
2000-06-09,21.36,21.52,21.16,21.31,72400.0,21.31
2000-06-12,21.19,21.75,21.19,21.44,94100.0,21.44
2000-06-13,21.56,21.56,20.83,20.83,40000.0,20.83
2000-06-14,21.08,21.64,21.08,21.38,56400.0,21.38
2000-06-15,21.42,21.61,21.28,21.38,74100.0,21.38
2000-06-16,21.3,21.42,21.08,21.38,38700.0,21.38
2000-06-19,21.27,21.27,20.69,20.69,62800.0,20.69
2000-06-20,20.58,20.72,20.31,20.31,68900.0,20.31
2000-06-21,20.19,20.39,20.06,20.22,107200.0,20.22
2000-06-22,20.06,20.47,20.03,20.22,111100.0,20.22
2000-06-23,20.12,20.34,20.11,20.23,79800.0,20.23
2000-06-26,20.34,20.34,19.77,19.77,34300.0,19.77
2000-06-27,20.0,20.81,20.0,20.56,167200.0,20.56
2000-06-28,20.28,20.58,19.98,20.52,66100.0,20.52
2000-06-29,20.19,20.38,19.77,20.14,15300.0,20.14
