date,open,high,low,close,volume,adjusted_close
2000-01-03,31.0,31.0,29.86,30.12,212900.0,30.12
2000-01-04,29.69,29.81,29.03,29.22,177200.0,29.22
2000-01-05,29.34,29.34,28.72,28.86,124600.0,28.86
2000-01-06,29.05,29.41,29.0,29.19,135800.0,29.19
2000-01-07,29.5,30.56,29.5,30.56,69400.0,30.56
2000-01-10,30.53,30.59,30.16,30.41,41900.0,30.41
2000-01-11,30.5,30.62,30.09,30.23,29600.0,30.23
2000-01-12,30.31,30.31,29.94,30.06,53100.0,30.06
2000-01-13,30.22,30.31,29.95,30.22,70600.0,30.22
2000-01-14,30.25,30.33,30.14,30.14,102600.0,30.14
2000-01-18,30.0,30.12,29.66,29.97,53800.0,29.97
2000-01-19,29.95,30.27,29.91,29.91,113800.0,29.91
2000-01-20,30.06,30.06,29.34,29.5,161400.0,29.5
2000-01-21,29.53,29.53,28.89,28.89,170200.0,28.89
2000-01-24,29.09,29.12,27.81,27.81,5100.0,27.81
2000-01-25,27.91,28.06,27.62,27.98,63000.0,27.98
2000-01-26,27.91,28.2,27.72,28.19,38100.0,28.19
2000-01-27,28.41,28.41,27.66,28.11,119100.0,28.11
2000-01-28,27.66,27.77,26.91,27.0,12400.0,27.0
2000-01-31,26.88,27.2,26.88,27.2,10800.0,27.2
2000-02-01,27.44,28.19,27.44,28.19,129900.0,28.19
2000-02-02,28.25,28.28,28.0,28.0,5300.0,28.0
2000-02-03,28.28,28.28,28.03,28.11,26200.0,28.11
2000-02-04,28.36,28.36,28.0,28.06,23100.0,28.06
2000-02-07,27.88,27.88,27.47,27.47,20800.0,27.47
2000-02-08,27.69,28.27,27.69,28.09,205700.0,28.09
2000-02-09,28.19,28.19,27.58,27.62,28600.0,27.62
2000-02-10,27.67,27.67,27.28,27.38,10100.0,27.38
2000-02-11,27.55,27.55,26.77,26.98,33000.0,26.98
2000-02-14,27.55,27.31,26.97,27.12,2800.0,27.12
2000-02-15,27.16,27.19,26.75,27.19,7900.0,27.19
2000-02-16,27.0,27.0,26.12,26.12,18000.0,26.12
2000-02-17,26.31,26.31,25.25,25.38,67000.0,25.38
2000-02-18,25.23,25.33,24.83,25.0,7500.0,25.0
2000-02-22,25.34,25.38,24.78,25.06,70700.0,25.06
2000-02-23,25.31,25.31,24.84,24.98,343000.0,24.98
2000-02-24,24.78,24.78,23.89,24.19,108900.0,24.19
