date,open,high,low,close,volume,adjusted_close
2000-01-03,16.88,16.88,16.62,16.62,11500.0,16.62
2000-01-04,16.38,16.38,15.88,15.88,8300.0,15.88
2000-01-05,16.0,16.19,16.0,16.19,6500.0,16.19
2000-01-06,15.81,16.0,15.81,16.0,3600.0,16.0
2000-01-07,16.06,16.25,16.06,16.25,8000.0,16.25
2000-01-10,16.75,16.88,16.56,16.81,11100.0,16.81
2000-01-11,16.75,16.75,16.75,16.75,3900.0,16.75
2000-01-12,16.62,16.62,16.44,16.44,4100.0,16.44
2000-01-13,16.44,16.44,16.44,16.44,100.0,16.44
2000-01-14,16.56,16.75,16.56,16.75,1500.0,16.75
2000-01-18,16.5,16.62,16.31,16.62,7400.0,16.62
2000-01-19,16.75,16.88,16.75,16.88,3300.0,16.88
2000-01-20,16.69,16.88,16.69,16.88,6400.0,16.88
2000-01-21,16.81,16.81,16.81,16.81,900.0,16.81
2000-01-24,16.81,16.88,16.69,16.69,16600.0,16.69
2000-01-25,16.56,16.56,16.25,16.25,8300.0,16.25
2000-01-26,16.62,17.06,16.62,17.06,4600.0,17.06
2000-01-27,17.19,17.31,17.06,17.06,2900.0,17.06
2000-01-28,17.0,17.0,16.5,16.75,1900.0,16.75
2000-01-31,16.56,16.69,16.5,16.69,2500.0,16.69
2000-02-01,16.75,16.75,16.75,16.75,1900.0,16.75
2000-02-02,16.88,17.38,16.88,17.38,700.0,17.38
2000-02-03,17.56,17.56,17.25,17.25,15700.0,17.25
2000-02-04,17.31,18.06,17.31,18.06,47900.0,18.06
2000-02-07,18.0,18.0,17.69,17.75,5100.0,17.75
2000-02-08,17.75,17.81,17.62,17.75,8700.0,17.75
2000-02-09,18.0,18.12,17.94,17.94,4400.0,17.94
2000-02-10,17.62,17.62,17.62,17.62,300.0,17.62
2000-02-11,17.88,17.88,17.56,17.56,1700.0,17.56
2000-02-14,17.75,17.75,17.5,17.69,8500.0,17.69
2000-02-15,17.69,17.88,17.69,17.88,600.0,17.88
2000-02-16,17.88,18.12,17.88,18.12,8300.0,18.12
2000-02-17,18.25,18.38,18.25,18.25,3000.0,18.25
2000-02-18,18.25,18.25,18.19,18.19,2500.0,18.19
2000-02-22,17.81,17.81,17.69,17.69,10800.0,17.69
2000-02-23,17.69,17.69,17.5,17.5,4200.0,17.5
2000-02-24,17.38,17.62,17.38,17.5,32500.0,17.5
2000-02-25,17.69,17.69,17.38,17.38,6000.0,17.38
2000-02-28,17.31,17.5,17.31,17.38,12700.0,17.38
2000-02-29,17.38,17.38,17.38,17.38,600.0,17.38
2000-03-01,0.0,17.5,17.0,17.5,26000.0,17.5
2000-03-02,0.0,17.88,17.62,17.88,15900.0,17.88
2000-03-03,0.0,18.12,17.88,17.88,12200.0,17.88
2000-03-06,0.0,17.94,17.56,17.69,52300.0,17.69
2000-03-07,18.12,18.12,17.81,18.0,23500.0,18.0
2000-03-08,17.38,17.62,17.38,17.62,11600.0,17.62
2000-03-09,17.31,17.31,17.31,17.31,3100.0,17.31
2000-03-10,17.0,17.56,17.0,17.38,14800.0,17.38
2000-03-13,17.12,17.25,17.0,17.12,9900.0,17.12
2000-03-14,17.5,17.5,17.25,17.25,6900.0,17.25
2000-03-15,17.25,17.5,17.25,17.5,10700.0,17.5
2000-03-16,17.5,17.62,17.25,17.62,16600.0,17.62
2000-03-17,17.81,17.81,17.81,17.81,3300.0,17.81
2000-03-20,17.88,17.88,17.88,17.88,16000.0,17.88
2000-03-21,17.75,18.0,17.75,18.0,8400.0,18.0
2000-03-22,18.0,18.38,18.0,18.31,12000.0,18.31
2000-03-23,18.62,19.0,18.38,19.0,14000.0,19.0
2000-03-24,19.06,19.06,18.88,19.06,2400.0,19.06
2000-03-27,19.0,19.0,18.94,18.94,12900.0,18.94
2000-03-28,19.0,19.0,18.94,18.94,1400.0,18.94
2000-03-29,19.06,19.06,18.5,18.5,20800.0,18.5
2000-03-30,18.44,18.44,18.12,18.12,12500.0,18.12
2000-03-31,18.19,18.44,18.19,18.44,12200.0,18.44
2000-04-03,18.25,18.5,18.25,18.44,4000.0,18.44
2000-04-04,18.0,18.0,17.5,17.5,25000.0,17.5
2000-04-05,17.75,18.0,17.75,18.0,21300.0,18.0
2000-04-06,18.0,18.38,18.0,18.38,14000.0,18.38
2000-04-07,18.19,18.19,18.19,18.19,600.0,18.19
2000-04-10,18.25,18.25,18.19,18.25,7100.0,18.25
2000-04-11,18.12,18.12,18.0,18.06,12200.0,18.06
2000-04-12,18.0,18.0,18.0,18.0,10000.0,18.0
2000-04-13,17.75,17.75,17.75,17.75,900.0,17.75
2000-04-14,17.56,17.62,16.94,17.0,16600.0,17.0
2000-04-17,16.31,16.88,16.31,16.88,115500.0,16.88
2000-04-18,17.0,17.5,17.0,17.38,3600.0,17.38
2000-04-19,17.75,17.75,17.75,17.75,300.0,17.75
2000-04-20,17.75,17.75,17.75,17.75,300.0,17.75
2000-04-24,17.56,17.56,17.0,17.19,8200.0,17.19
2000-04-25,17.44,17.56,17.25,17.56,5500.0,17.56
2000-04-26,17.69,18.06,17.69,18.06,5600.0,18.06
2000-04-27,17.75,17.94,17.75,17.88,11800.0,17.88
2000-04-28,18.0,18.06,18.0,18.06,2800.0,18.06
2000-05-01,18.12,18.19,18.12,18.19,1000.0,18.19
2000-05-02,18.25,18.25,17.75,17.75,16500.0,17.75
2000-05-03,17.94,17.94,17.56,17.56,16200.0,17.56
2000-05-04,17.56,17.75,17.56,17.75,2300.0,17.75
2000-05-05,17.88,18.25,17.88,18.06,12500.0,18.06
2000-05-08,18.12,18.12,18.0,18.0,10500.0,18.0
2000-05-09,17.81,17.81,17.81,17.81,10400.0,17.81
2000-05-10,17.75,17.75,17.38,17.44,15900.0,17.44
2000-05-11,17.5,17.75,17.5,17.75,2000.0,17.75
2000-05-12,17.62,17.62,17.62,17.62,600.0,17.62
2000-05-15,17.88,18.0,17.75,17.75,13600.0,17.75
2000-05-16,18.06,18.38,18.06,18.25,16500.0,18.25
2000-05-17,18.31,18.5,18.12,18.44,4500.0,18.44
2000-05-18,18.44,18.44,18.44,18.44,4500.0,18.44
2000-05-19,18.38,18.44,18.19,18.19,6900.0,18.19
2000-05-22,18.12,18.12,18.12,18.12,1800.0,18.12
2000-05-23,0.0,17.88,17.75,17.75,1200.0,17.75
2000-05-24,0.0,17.88,17.75,17.75,1400.0,17.75
2000-05-25,0.0,18.31,18.12,18.19,20100.0,18.19
2000-05-26,0.0,17.75,17.69,17.69,1700.0,17.69
2000-05-30,0.0,18.19,17.69,18.19,10300.0,18.19
2000-05-31,0.0,18.12,18.12,18.12,700.0,18.12
2000-06-01,0.0,18.69,18.38,18.69,19000.0,18.69
2000-06-02,0.0,19.25,18.81,19.25,2700.0,19.25
2000-06-05,0.0,19.25,18.88,19.0,9500.0,19.0
2000-06-06,0.0,18.88,18.81,18.88,6700.0,18.88
2000-06-07,0.0,19.0,18.56,19.0,59700.0,19.0
2000-06-08,0.0,19.12,18.88,19.0,53200.0,19.0
2000-06-09,0.0,19.19,18.94,18.94,12700.0,18.94
2000-06-12,0.0,19.31,19.19,19.25,21500.0,19.25
2000-06-13,0.0,19.5,19.25,19.44,10400.0,19.44
2000-06-14,0.0,19.81,19.56,19.81,1100.0,19.81
2000-06-15,0.0,19.75,19.62,19.75,14800.0,19.75
2000-06-16,0.0,19.81,19.75,19.81,6100.0,19.81
2000-06-19,0.0,19.88,19.69,19.75,4600.0,19.75
2000-06-20,0.0,20.12,19.88,20.0,15400.0,20.0
2000-06-21,0.0,20.06,19.69,19.94,10700.0,19.94
2000-06-22,0.0,19.88,19.62,19.75,7700.0,19.75
2000-06-23,0.0,19.62,19.5,19.5,31800.0,19.5
2000-06-26,0.0,19.56,19.56,19.56,1000.0,19.56
2000-06-27,0.0,19.44,19.19,19.31,47000.0,19.31
2000-06-28,0.0,20.0,19.44,20.0,2200.0,20.0
2000-06-29,0.0,19.75,19.56,19.56,1800.0,19.56
2000-06-30,0.0,19.94,19.69,19.94,2600.0,19.94
2000-07-03,0.0,19.88,19.69,19.75,6600.0,19.75
2000-07-05,0.0,20.0,19.81,19.81,21700.0,19.81
2000-07-06,0.0,19.94,19.62,19.81,15400.0,19.81
2000-07-07,0.0,20.06,19.94,20.06,5400.0,20.06
2000-07-10,0.0,20.19,20.06,20.12,34800.0,20.12
2000-07-11,0.0,20.19,19.88,20.12,30400.0,20.12
