date,open,high,low,close,volume,adjusted_close
2000-01-03,18.5,18.62,18.06,18.25,42800.0,18.25
2000-01-04,17.75,17.75,16.62,16.62,37400.0,16.62
2000-01-05,16.56,17.06,16.25,17.0,22400.0,17.0
2000-01-06,16.81,17.12,16.81,17.0,21300.0,17.0
2000-01-07,17.19,17.69,16.94,17.5,57600.0,17.5
2000-01-10,18.25,18.38,18.0,18.38,36700.0,18.38
2000-01-11,18.56,18.56,17.88,17.88,29300.0,17.88
2000-01-12,18.0,18.0,17.62,17.75,5700.0,17.75
2000-01-13,18.5,18.56,18.25,18.38,27000.0,18.38
2000-01-14,18.25,18.62,18.25,18.62,23700.0,18.62
2000-01-18,18.62,18.75,18.38,18.56,26800.0,18.56
2000-01-19,18.62,18.62,18.0,18.25,11900.0,18.25
2000-01-20,18.06,18.31,17.5,17.5,94400.0,17.5
2000-01-21,17.62,17.62,17.44,17.5,7900.0,17.5
2000-01-24,17.5,17.62,16.88,16.88,21400.0,16.88
2000-01-25,16.88,17.12,16.69,16.88,21500.0,16.88
2000-01-26,17.12,17.12,16.88,17.12,10200.0,17.12
2000-01-27,17.06,17.38,17.0,17.19,29600.0,17.19
2000-01-28,16.69,16.94,16.5,16.56,12900.0,16.56
2000-01-31,16.38,16.38,15.81,16.25,12400.0,16.25
2000-02-01,16.19,16.44,15.94,16.31,21900.0,16.31
2000-02-02,16.31,16.75,16.31,16.75,27300.0,16.75
2000-02-03,16.88,17.69,16.88,17.69,16800.0,17.69
2000-02-04,17.62,18.31,17.62,18.12,73300.0,18.12
2000-02-07,18.25,18.56,18.12,18.56,23300.0,18.56
2000-02-08,19.38,19.38,18.44,18.88,26400.0,18.88
2000-02-09,18.69,19.06,18.56,18.56,16800.0,18.56
2000-02-10,18.5,19.38,18.5,19.06,35300.0,19.06
2000-02-11,19.38,19.44,18.62,18.69,17900.0,18.69
2000-02-14,19.06,19.06,18.75,18.75,11800.0,18.75
2000-02-15,18.75,18.88,18.25,18.75,31300.0,18.75
2000-02-16,18.81,18.94,18.69,18.94,8900.0,18.94
2000-02-17,19.0,19.0,18.56,18.75,13700.0,18.75
2000-02-18,18.81,18.81,18.0,18.0,11500.0,18.0
2000-02-22,18.12,18.12,17.38,17.38,27500.0,17.38
2000-02-23,17.81,18.12,17.75,18.12,20400.0,18.12
2000-02-24,18.12,18.44,17.88,17.94,15100.0,17.94
