date,open,high,low,close,volume,adjusted_close,name
2005-06-06,120.01,120.2,119.55,120.05,35527300.0,120.05,spy
2004-12-20,29.36,29.55,29.25,29.37,338000.0,29.37,xlb
2007-07-31,32.28,32.28,31.66,31.89,2182700.0,31.89,ewg
2002-02-12,25.49,25.64,25.34,25.4,75500.0,25.4,xle
2005-09-13,33.8,33.8,33.42,33.42,924100.0,33.42,xly
2005-12-07,126.77,126.87,125.68,126.08,64541300.0,126.08,spy
2016-03-02,49.75,50.67,49.68,50.65,4965132.0,50.65,eww
2010-06-15,30.64,31.15,30.53,31.12,7054736.0,31.12,xlb
2009-06-11,12.31,12.59,12.29,12.41,156568612.0,12.41,xlf
2000-08-04,9.31,10.44,10.31,10.44,6600.0,10.44,ewa
2014-07-03,68.44,69.23,68.43,69.15,1183313.0,69.15,eww
2013-12-04,49.52,49.92,49.13,49.56,6777225.0,49.56,xli
2012-03-14,44.56,44.59,44.35,44.48,1146858.0,44.48,xly
2003-12-09,100.0,100.15,96.64,99.45,8956900.0,99.45,dia
2000-03-23,27.31,28.5,27.31,28.5,205800.0,28.5,ewg
2010-06-21,30.43,30.6,29.9,30.05,17337095.0,30.05,xli
2003-04-17,19.2,19.25,19.02,19.14,237800.0,19.14,xlu
2016-07-01,68.16,68.85,68.11,68.6,12678827.0,68.6,xle
2013-08-26,65.42,65.42,63.32,63.62,3040278.0,63.62,eww
2000-10-06,24.56,24.56,24.02,24.02,12000.0,24.02,xly
2003-05-27,7.58,7.76,7.55,7.7,1497500.0,7.7,ewh
2016-11-02,66.87,67.38,66.65,66.65,17942887.0,66.65,xlv
2015-07-17,55.03,55.15,54.78,54.92,5506049.0,54.92,xli
2003-03-19,9.2,9.2,8.92,9.06,136900.0,9.06,ewg
2006-06-22,33.06,33.14,32.86,32.91,566300.0,32.91,xly
2010-02-11,100.42,101.75,99.87,101.58,9937358.0,101.58,dia
2006-01-13,38.4,38.43,37.9,38.17,633100.0,38.17,eww
2016-05-24,23.35,23.59,23.32,23.54,38418701.0,23.54,xlf
2002-08-19,21.19,21.45,21.07,21.45,71500.0,21.45,xlu
2010-09-01,52.05,53.24,51.97,53.11,19132870.0,53.11,xle
2005-04-22,27.9,27.95,27.53,27.74,12891900.0,27.74,xlf
2003-10-20,12.47,12.52,12.38,12.5,76300.0,12.5,ewa
2016-10-07,49.75,49.76,48.82,49.19,3357290.0,49.19,eww
2000-11-29,27.67,28.31,27.67,28.12,66700.0,28.12,xlp
2006-03-10,31.43,31.78,31.42,31.71,3386500.0,31.71,xlu
2008-11-06,90.79,91.66,86.48,87.13,42262300.0,87.13,dia
2005-05-03,41.24,41.36,41.04,41.16,2056000.0,41.16,ewj
2011-08-01,43.24,43.24,42.3,42.4,3582093.0,42.4,ewj
2003-10-24,20.92,20.92,20.63,20.91,289900.0,20.91,xlp
2013-12-19,23.51,23.64,23.46,23.62,3210735.0,23.62,ewa
2000-06-12,22.94,25.75,25.25,25.62,80200.0,25.62,ewg
2006-06-29,30.94,31.95,30.94,31.95,6226500.0,31.95,xlb
2008-07-18,29.21,29.4,29.14,29.39,868300.0,29.39,ewg
2008-01-22,116.31,120.69,115.8,119.22,36591200.0,119.22,dia
2012-06-22,21.08,21.17,20.96,21.11,320546.0,21.11,ewa
2005-05-06,41.4,41.77,41.05,41.1,8700000.0,41.1,xle
2003-10-20,29.4,29.47,29.25,29.38,29300.0,29.38,xly
2012-04-23,36.04,36.05,35.62,36.03,2325848.0,36.03,xlb
2010-06-15,15.22,15.44,15.17,15.37,5104842.0,15.37,ewh
2014-02-20,86.5,87.27,86.38,87.1,9436884.0,87.1,xle
2013-10-07,45.96,46.32,45.92,46.08,7703995.0,46.08,ewj
2012-03-30,37.47,37.51,37.23,37.42,1909731.0,37.42,xli
2010-12-16,25.11,25.23,25.0,25.12,5935102.0,25.12,xlk
2012-12-13,36.44,36.69,36.2,36.38,6361711.0,36.38,xlb
2006-06-30,56.78,57.09,56.26,56.75,11259300.0,56.75,xle
2006-06-05,33.09,33.19,32.68,32.71,6467800.0,32.71,xlf
2009-04-15,16.42,16.54,16.27,16.5,5673328.0,16.5,xlk
2012-08-01,35.02,35.3,34.84,34.87,1854129.0,34.87,xlb
2000-09-22,24.56,24.94,24.41,24.94,54800.0,24.94,xlp
2007-10-08,58.24,58.4,58.04,58.28,2236050.0,58.28,ewj
2002-06-28,10.65,10.71,10.57,10.62,64600.0,10.62,ewc
2014-01-06,183.47,183.56,182.08,182.36,108028139.0,182.36,spy
2002-04-04,28.75,29.26,28.75,29.12,267400.0,29.12,xly
2012-10-12,40.54,40.62,40.29,40.31,959321.0,40.31,xlv
2013-03-26,39.42,39.66,39.38,39.64,7227848.0,39.64,xlp
2016-10-27,21.89,21.89,21.74,21.76,1989354.0,21.76,ewh
2012-01-09,123.76,123.91,123.15,123.66,832742.0,123.66,dia
2007-03-22,26.43,26.43,25.9,25.96,308600.0,25.96,ewc
2001-06-22,30.95,31.53,30.62,31.53,196200.0,31.53,xle
2009-09-11,21.95,21.98,21.69,21.83,517873.0,21.83,ewg
2014-06-05,67.0,67.32,66.7,67.15,1986217.0,67.15,eww
2016-10-07,182.8,182.99,181.32,182.22,2527731.0,182.22,dia
2016-07-22,45.53,45.83,45.43,45.83,4707250.0,45.83,xlk
2010-06-07,31.54,31.81,30.92,30.92,11929814.0,30.92,xly
2010-11-23,28.63,28.63,28.41,28.47,5976571.0,28.47,xlp
2009-03-23,32.32,33.12,32.04,33.08,11948502.0,33.08,ewj
2011-09-06,18.42,18.72,18.26,18.71,2663297.0,18.71,ewg
2009-10-26,24.14,24.44,23.71,23.81,6796201.0,23.81,ewa
2013-01-03,39.76,39.92,39.52,39.6,9579092.0,39.6,ewj
2016-08-11,23.93,23.99,23.84,23.93,20422059.0,23.93,xlf
2003-03-21,23.75,24.28,23.53,24.28,217400.0,24.28,xly
2012-12-20,19.18,19.31,19.15,19.27,1995287.0,19.27,ewh
2007-02-20,25.08,25.46,24.9,25.13,913400.0,25.13,ewa
2009-11-17,104.09,104.64,103.86,104.59,8403907.0,104.59,dia
2001-05-24,28.48,28.6,28.25,28.38,59900.0,28.38,xly
2014-01-07,66.02,66.38,65.75,66.11,4061547.0,66.11,eww
2009-05-29,19.21,19.34,19.03,19.34,2090331.0,19.34,ewg
2010-10-01,33.58,33.75,33.29,33.45,7622430.0,33.45,xly
2000-01-05,16.56,17.06,16.25,17.0,22400.0,17.0,eww
2013-12-19,50.99,51.14,50.77,51.11,13576666.0,51.11,xli
2006-10-09,24.18,24.31,24.15,24.29,583700.0,24.29,ewg
2010-08-23,28.85,29.07,28.77,28.8,6570764.0,28.8,xlv
2010-02-25,31.09,31.54,30.79,31.49,20458985.0,31.49,xlb
2006-12-12,25.75,25.87,25.68,25.85,153900.0,25.85,ewc
2007-01-23,142.26,143.08,142.06,142.8,51795800.0,142.8,spy
2009-06-23,11.43,11.59,11.3,11.47,140301280.0,11.47,xlf
2012-02-28,14.81,14.86,14.71,14.82,13304933.0,14.82,xlf
2016-07-28,20.99,21.0,20.93,20.99,1740795.0,20.99,ewh
2005-09-28,29.29,29.37,29.05,29.05,5930800.0,29.05,xlf
2013-05-07,149.77,150.28,149.44,150.26,5364417.0,150.26,dia
2007-11-02,56.64,56.72,56.04,56.56,4095300.0,56.56,ewj
2007-07-12,42.05,42.64,41.75,42.45,6791500.0,42.45,xlb
2013-09-18,60.74,61.74,60.54,61.53,9662243.0,61.53,xly
2011-01-19,19.97,19.99,19.79,19.85,5817991.0,19.85,ewh
2014-12-24,180.19,180.53,179.94,180.03,1647624.0,180.03,dia
2016-03-14,68.34,68.57,68.12,68.3,6139906.0,68.3,xlv
2008-10-13,19.55,21.35,19.2,20.43,688100.0,20.43,ewg
2013-03-19,71.06,71.61,69.53,70.05,3536726.0,70.05,eww
2002-06-21,25.8,26.04,25.46,25.72,262600.0,25.72,xle
2000-10-25,29.72,30.0,29.69,29.69,1200.0,29.69,xli
2011-09-13,33.07,33.29,32.83,33.29,1323740.0,33.29,xlu
2004-01-27,31.3,31.3,30.93,30.97,161400.0,30.97,xlv
2008-11-28,29.29,29.89,29.16,29.39,1345258.0,29.39,eww
2009-09-17,107.17,108.06,106.57,107.16,229170848.0,107.16,spy
2001-11-27,25.5,25.98,25.26,25.66,414900.0,25.66,xle
2002-12-31,88.2,88.43,87.11,88.23,32093300.0,88.23,spy
2001-05-24,129.47,130.0,128.55,129.63,7697400.0,129.63,spy
2001-10-25,107.45,110.64,106.74,110.57,26933200.0,110.57,spy
2009-07-22,22.74,23.06,22.69,22.91,8604557.0,22.91,xli
2003-12-01,14.99,15.12,14.93,15.09,214400.0,15.09,ewg
2004-05-19,19.6,19.88,19.51,19.52,437200.0,19.52,xlk
2008-12-31,21.23,21.63,21.12,21.57,4189686.0,21.57,xly
2008-10-27,27.18,27.79,26.4,26.4,7502200.0,26.4,xlu
2014-07-03,42.6,42.88,42.31,42.5,12201259.0,42.5,xlu
