date,open,high,low,close,volume,adjusted_close
2000-01-03,55.62,55.62,53.5,55.44,938100.0,55.44
2000-01-04,54.0,54.75,52.31,52.62,544700.0,52.62
2000-01-05,51.75,53.06,50.12,51.84,1906000.0,51.84
2000-01-06,51.25,52.09,49.62,50.12,1670000.0,50.12
2000-01-07,49.62,51.0,49.12,51.0,685900.0,51.0
2000-01-10,53.0,53.44,52.06,52.94,1019800.0,52.94
2000-01-11,53.0,53.47,51.19,51.44,1411300.0,51.44
2000-01-12,52.38,52.38,50.62,51.22,1983200.0,51.22
2000-01-13,51.88,52.0,50.88,51.69,1193000.0,51.69
2000-01-14,53.25,53.72,52.78,52.88,1383900.0,52.88
2000-01-18,52.75,53.72,52.61,53.16,550800.0,53.16
2000-01-19,52.94,53.47,52.56,53.25,790400.0,53.25
2000-01-20,54.25,54.44,53.12,53.56,1095600.0,53.56
2000-01-21,53.88,53.88,53.14,53.62,1434700.0,53.62
2000-01-24,53.94,54.34,51.59,51.88,568900.0,51.88
2000-01-25,51.77,53.03,51.06,52.98,2982400.0,52.98
2000-01-26,52.69,52.75,50.94,51.25,839300.0,51.25
2000-01-27,51.88,52.12,49.72,50.75,1238100.0,50.75
2000-01-28,50.12,51.12,48.12,48.94,2457000.0,48.94
2000-01-31,48.94,50.56,47.88,50.56,1312300.0,50.56
2000-02-01,50.52,51.75,50.03,51.62,474900.0,51.62
2000-02-02,51.44,52.66,51.44,52.0,534700.0,52.0
2000-02-03,52.25,53.5,51.77,53.5,1244600.0,53.5
2000-02-04,53.75,54.62,53.62,54.12,691700.0,54.12
2000-02-07,54.25,54.88,53.81,54.75,655300.0,54.75
2000-02-08,55.19,55.75,55.06,55.25,886000.0,55.25
2000-02-09,55.75,56.12,54.25,54.56,1623300.0,54.56
2000-02-10,54.69,55.88,54.5,55.86,1157600.0,55.86
2000-02-11,55.86,55.88,53.88,54.38,1002100.0,54.38
2000-02-14,54.75,54.75,53.75,54.41,351500.0,54.41
2000-02-15,54.33,54.94,52.97,54.56,300600.0,54.56
2000-02-16,54.38,55.0,54.19,54.28,172100.0,54.28
2000-02-17,54.98,55.62,54.19,55.5,231200.0,55.5
2000-02-18,55.56,55.56,53.5,53.62,362700.0,53.62
2000-02-22,53.38,54.0,52.0,53.5,1233900.0,53.5
2000-02-23,53.62,55.5,53.47,55.16,183200.0,55.16
2000-02-24,55.48,56.06,54.5,55.81,319900.0,55.81
2000-02-25,55.88,56.5,54.88,55.28,937200.0,55.28
2000-02-28,54.75,55.62,53.25,54.62,1508300.0,54.62
2000-02-29,55.75,56.0,55.38,55.88,474100.0,55.88
2000-03-01,55.75,57.25,56.0,56.44,963500.0,56.44
2000-03-02,55.75,57.31,56.09,57.0,1097600.0,57.0
2000-03-03,55.75,58.81,57.38,58.58,401600.0,58.58
2000-03-06,55.75,59.41,58.0,58.48,667500.0,58.48
2000-03-07,59.16,59.5,57.09,57.25,1304600.0,57.25
2000-03-08,57.56,58.12,56.5,57.88,1089600.0,57.88
2000-03-09,57.94,59.75,57.38,59.62,285900.0,59.62
2000-03-10,60.0,60.66,59.5,59.75,265000.0,59.75
2000-03-13,58.5,60.25,58.0,58.88,2011200.0,58.88
2000-03-14,59.62,60.12,57.31,57.53,464200.0,57.53
2000-03-15,58.0,58.19,56.25,56.53,619300.0,56.53
2000-03-16,57.25,58.5,55.88,58.5,2726600.0,58.5
2000-03-17,58.75,60.0,58.69,59.88,441000.0,59.88
2000-03-20,60.12,60.62,59.12,59.62,395400.0,59.62
2000-03-21,59.47,61.62,58.64,61.19,649200.0,61.19
2000-03-22,61.56,62.75,61.25,62.25,668500.0,62.25
2000-03-23,62.31,64.0,62.12,63.44,484100.0,63.44
2000-03-24,64.06,65.44,63.0,63.98,1103100.0,63.98
2000-03-27,64.25,64.94,64.06,64.5,783100.0,64.5
2000-03-28,64.5,64.5,62.94,62.94,625600.0,62.94
2000-03-29,63.0,63.06,60.41,61.09,3382700.0,61.09
2000-03-30,60.69,61.84,57.75,59.44,4635800.0,59.44
2000-03-31,60.25,61.19,58.62,60.56,319600.0,60.56
2000-04-03,59.81,59.81,56.31,58.0,2645000.0,58.0
2000-04-04,57.72,58.75,52.28,57.44,2211500.0,57.44
2000-04-05,56.62,59.19,56.12,57.81,587900.0,57.81
2000-04-06,58.75,59.44,57.75,58.56,173000.0,58.56
2000-04-07,59.31,60.62,58.88,60.56,233000.0,60.56
2000-04-10,60.56,60.75,58.38,58.38,665100.0,58.38
2000-04-11,57.48,58.12,56.0,56.94,1479200.0,56.94
2000-04-12,56.81,56.81,53.12,53.25,1338100.0,53.25
2000-04-13,54.0,55.25,52.22,52.23,2182100.0,52.23
2000-04-14,50.75,52.03,47.25,49.5,1908000.0,49.5
2000-04-17,48.75,52.19,48.62,52.19,905400.0,52.19
2000-04-18,52.62,54.78,52.12,54.78,572200.0,54.78
2000-04-19,54.25,55.12,53.25,53.34,355300.0,53.34
2000-04-20,53.5,53.88,52.25,52.88,241400.0,52.88
2000-04-24,50.62,51.38,49.38,51.25,611100.0,51.25
2000-04-25,52.75,54.22,52.27,54.22,357900.0,54.22
2000-04-26,54.38,55.19,53.19,53.19,1462000.0,53.19
2000-04-27,52.38,55.0,52.38,54.84,481700.0,54.84
2000-04-28,55.44,55.69,54.5,55.0,646500.0,55.0
2000-05-01,55.81,56.25,55.25,55.78,195800.0,55.78
2000-05-02,55.31,55.44,53.5,54.75,682600.0,54.75
2000-05-03,52.2,53.31,51.0,52.38,766600.0,52.38
2000-05-04,52.28,53.0,51.69,52.0,178600.0,52.0
2000-05-05,52.56,53.62,52.38,53.42,300000.0,53.42
2000-05-08,52.19,52.62,51.41,51.53,155400.0,51.53
2000-05-09,51.88,51.94,50.0,50.58,1236200.0,50.58
2000-05-10,49.62,49.81,47.75,48.12,1019800.0,48.12
2000-05-11,48.44,49.62,47.81,49.48,431200.0,49.48
2000-05-12,50.5,51.41,50.12,50.12,221500.0,50.12
2000-05-15,50.5,51.19,49.12,51.06,157600.0,51.06
2000-05-16,52.25,52.75,51.28,52.59,408000.0,52.59
2000-05-17,52.06,52.34,51.12,51.84,368600.0,51.84
2000-05-18,51.88,51.88,50.38,50.53,206800.0,50.53
2000-05-19,50.12,50.19,48.28,48.56,777500.0,48.56
2000-05-22,48.12,48.44,46.0,48.34,452600.0,48.34
2000-05-23,48.5,48.5,45.94,46.0,334300.0,46.0
2000-05-24,46.5,48.0,44.69,47.81,713600.0,47.81
2000-05-25,48.69,49.16,46.69,47.03,606100.0,47.03
2000-05-26,47.56,47.72,46.25,47.19,143500.0,47.19
2000-05-30,48.38,50.25,48.12,50.25,821100.0,50.25
2000-05-31,50.0,50.69,49.22,49.28,252300.0,49.28
2000-06-01,50.25,51.5,49.94,51.5,540200.0,51.5
2000-06-02,53.75,54.22,53.12,53.84,858100.0,53.84
2000-06-05,53.5,54.75,53.5,54.0,391900.0,54.0
2000-06-06,54.0,54.75,53.25,53.25,447200.0,53.25
2000-06-07,53.56,54.34,52.78,54.25,238300.0,54.25
2000-06-08,54.69,54.98,53.56,54.0,277100.0,54.0
2000-06-09,54.69,54.69,53.81,54.12,130900.0,54.12
2000-06-12,54.03,54.16,52.81,52.81,369300.0,52.81
2000-06-13,53.19,54.12,52.38,54.12,362200.0,54.12
2000-06-14,54.25,54.56,53.09,53.12,222600.0,53.12
2000-06-15,53.5,54.62,53.25,54.19,127300.0,54.19
2000-06-16,54.38,54.78,53.84,54.38,470500.0,54.38
2000-06-19,54.44,56.31,54.25,56.09,512500.0,56.09
2000-06-20,56.34,56.98,55.84,56.25,202100.0,56.25
2000-06-21,55.75,56.91,55.69,56.75,341000.0,56.75
2000-06-22,56.31,56.53,54.81,55.0,622200.0,55.0
2000-06-23,55.0,55.16,53.56,53.83,113900.0,53.83
2000-06-26,54.31,54.75,53.75,54.19,192000.0,54.19
2000-06-27,54.25,54.78,53.56,53.66,147900.0,53.66
2000-06-28,53.5,54.91,53.5,54.19,159500.0,54.19
2000-06-29,53.5,53.88,52.81,53.12,462900.0,53.12
2000-06-30,53.12,54.19,53.12,54.19,263600.0,54.19
2000-07-03,54.06,54.56,53.88,54.56,39400.0,54.56
2000-07-05,53.69,53.81,52.47,52.81,148900.0,52.81
2000-07-06,52.62,53.69,51.97,53.62,127400.0,53.62
2000-07-07,53.81,54.97,53.81,54.5,191500.0,54.5
2000-07-10,54.25,54.56,53.69,53.91,103400.0,53.91
2000-07-11,53.66,54.41,53.0,53.47,95200.0,53.47
2000-07-12,54.12,55.16,53.88,54.84,347100.0,54.84
2000-07-13,55.22,56.38,55.09,55.91,198100.0,55.91
2000-07-14,56.62,57.17,56.14,56.94,135600.0,56.94
2000-07-17,56.88,57.75,56.75,57.41,112800.0,57.41
2000-07-18,56.88,57.03,56.03,56.25,184000.0,56.25
2000-07-19,56.0,56.03,54.88,55.0,133900.0,55.0
2000-07-20,55.38,56.34,55.34,56.16,270900.0,56.16
2000-07-21,55.47,55.56,54.78,54.94,228700.0,54.94
2000-07-24,54.88,55.34,53.39,53.59,204500.0,53.59
2000-07-25,54.28,54.58,53.53,54.5,222700.0,54.5
2000-07-26,54.03,54.06,52.88,53.78,274100.0,53.78
2000-07-27,53.0,53.25,51.88,52.22,479700.0,52.22
2000-07-28,52.31,52.69,49.84,50.28,374300.0,50.28
2000-07-31,50.56,51.66,49.94,51.31,564000.0,51.31
2000-08-01,51.25,51.34,50.5,50.72,167500.0,50.72
2000-08-02,50.25,51.72,50.25,50.5,143500.0,50.5
2000-08-03,48.94,51.47,48.84,51.47,903800.0,51.47
2000-08-04,51.75,52.25,50.94,51.47,233800.0,51.47
2000-08-07,51.69,52.7,51.5,52.53,239400.0,52.53
2000-08-08,52.42,52.94,52.2,52.62,171300.0,52.62
2000-08-09,53.44,53.67,52.53,52.81,159200.0,52.81
2000-08-10,52.3,52.56,51.56,51.69,86900.0,51.69
2000-08-11,51.25,51.94,50.66,51.88,268300.0,51.88
2000-08-14,51.69,52.94,51.47,52.94,107600.0,52.94
2000-08-15,53.06,53.44,52.69,53.06,100700.0,53.06
2000-08-16,53.31,53.94,52.78,53.12,71300.0,53.12
2000-08-17,53.19,54.25,52.94,54.12,186100.0,54.12
2000-08-18,54.44,54.81,54.0,54.19,252100.0,54.19
2000-08-21,54.38,54.91,53.88,54.44,73400.0,54.44
2000-08-22,54.56,54.94,54.22,54.44,147600.0,54.44
2000-08-23,54.0,54.98,53.56,54.97,161100.0,54.97
2000-08-24,54.94,55.48,54.81,55.48,105200.0,55.48
2000-08-25,55.38,55.69,55.12,55.3,109800.0,55.3
2000-08-28,55.38,56.09,55.16,55.75,102400.0,55.75
2000-08-29,55.75,55.98,55.44,55.81,113300.0,55.81
2000-08-30,55.62,55.72,55.16,55.44,105300.0,55.44
2000-08-31,55.69,56.66,55.69,56.53,184500.0,56.53
2000-09-01,57.03,57.19,56.31,56.56,338400.0,56.56
2000-09-05,56.12,56.12,55.11,55.28,127100.0,55.28
2000-09-06,54.94,55.09,53.75,53.88,307600.0,53.88
2000-09-07,54.09,54.91,54.06,54.75,131700.0,54.75
2000-09-08,54.25,54.25,52.94,53.0,251400.0,53.0
2000-09-11,52.62,53.31,51.5,51.62,281600.0,51.62
2000-09-12,52.0,52.44,50.75,50.88,206300.0,50.88
2000-09-13,50.19,51.62,50.19,51.38,171500.0,51.38
2000-09-14,52.06,52.56,51.28,51.66,202800.0,51.66
2000-09-15,51.25,51.44,50.28,50.77,271500.0,50.77
2000-09-18,51.0,51.44,49.28,49.62,674000.0,49.62
2000-09-19,49.91,51.62,49.78,51.56,268300.0,51.56
2000-09-20,51.31,51.88,50.34,51.75,186700.0,51.75
2000-09-21,50.94,51.41,50.22,50.69,409800.0,50.69
2000-09-22,48.5,49.31,48.0,49.25,436200.0,49.25
2000-09-25,49.88,50.06,47.94,48.22,321100.0,48.22
2000-09-26,48.31,48.94,47.19,47.2,778700.0,47.2
2000-09-27,47.94,48.0,46.31,46.88,550200.0,46.88
2000-09-28,47.25,48.62,46.62,48.5,637000.0,48.5
2000-09-29,47.62,47.75,46.38,46.38,260700.0,46.38
2000-10-02,47.06,47.44,45.88,46.03,395000.0,46.03
2000-10-03,46.94,47.16,44.75,44.81,827900.0,44.81
2000-10-04,44.81,46.39,44.06,46.02,515900.0,46.02
2000-10-05,45.75,46.34,45.12,45.36,246600.0,45.36
2000-10-06,46.0,46.0,43.75,44.42,478300.0,44.42
2000-10-09,44.06,45.12,43.0,44.17,340200.0,44.17
2000-10-10,43.84,44.44,42.62,42.88,263800.0,42.88
2000-10-11,41.69,42.56,40.38,41.5,525100.0,41.5
2000-10-12,41.5,42.5,40.06,40.06,577800.0,40.06
2000-10-13,40.88,43.5,40.81,43.44,460300.0,43.44
2000-10-16,43.19,43.78,42.31,42.75,296700.0,42.75
2000-10-17,42.88,43.12,40.91,41.62,388100.0,41.62
2000-10-18,39.5,42.06,39.5,40.97,410200.0,40.97
2000-10-19,43.38,44.75,43.0,44.61,772000.0,44.61
2000-10-20,44.69,46.12,44.34,45.28,466800.0,45.28
2000-10-23,45.44,46.0,44.5,45.0,287200.0,45.0
2000-10-24,45.47,45.81,43.62,44.12,230700.0,44.12
2000-10-25,42.06,43.16,41.0,41.02,541600.0,41.02
2000-10-26,41.47,42.22,39.62,42.0,1057400.0,42.0
2000-10-27,43.25,43.25,41.69,42.36,427900.0,42.36
2000-10-30,42.12,42.62,40.84,41.78,257800.0,41.78
2000-10-31,42.81,44.0,42.41,43.72,394300.0,43.72
2000-11-01,43.25,43.88,42.31,42.88,388700.0,42.88
2000-11-02,43.81,44.19,43.25,43.98,263800.0,43.98
2000-11-03,43.97,44.47,43.62,44.31,315000.0,44.31
2000-11-06,44.31,44.66,43.5,43.62,161800.0,43.62
2000-11-07,43.38,44.22,43.14,43.94,287700.0,43.94
2000-11-08,43.94,44.06,41.5,41.62,279100.0,41.62
2000-11-09,40.19,41.53,39.62,41.02,761900.0,41.02
