date,open,high,low,close,volume,adjusted_close
2000-01-03,23.12,23.12,22.47,22.75,634300.0,22.75
2000-01-04,22.31,22.66,22.08,22.11,172000.0,22.11
2000-01-05,22.27,22.61,22.09,22.5,343600.0,22.5
2000-01-06,22.66,23.0,22.48,22.92,420800.0,22.92
2000-01-07,23.33,24.42,23.27,24.38,336600.0,24.38
2000-01-10,24.12,24.3,23.73,23.83,451700.0,23.83
2000-01-11,23.94,24.16,23.77,23.83,142900.0,23.83
2000-01-12,24.0,24.19,23.88,23.95,84300.0,23.95
2000-01-13,24.09,24.28,23.77,24.08,233800.0,24.08
2000-01-14,24.47,24.48,23.88,24.16,76100.0,24.16
2000-01-18,23.89,24.05,23.66,23.75,218300.0,23.75
2000-01-19,23.86,24.03,23.7,23.92,137800.0,23.92
2000-01-20,24.05,24.05,23.39,23.59,425500.0,23.59
2000-01-21,23.73,23.73,23.12,23.33,345000.0,23.33
2000-01-24,23.52,23.52,22.27,22.66,278200.0,22.66
2000-01-25,22.58,22.66,22.33,22.38,85000.0,22.38
2000-01-26,22.52,22.78,22.42,22.58,385500.0,22.58
2000-01-27,22.58,23.03,22.39,23.0,67800.0,23.0
2000-01-28,22.58,23.03,22.55,22.81,37100.0,22.81
2000-01-31,22.47,23.23,22.25,23.23,195800.0,23.23
2000-02-01,23.05,23.09,22.64,23.0,104000.0,23.0
2000-02-02,23.11,23.17,22.84,23.05,72700.0,23.05
2000-02-03,22.86,23.03,22.62,22.73,87900.0,22.73
2000-02-04,23.11,23.11,22.61,22.72,137500.0,22.72
2000-02-07,22.62,22.81,22.53,22.69,31600.0,22.69
2000-02-08,23.0,23.16,22.84,22.97,314700.0,22.97
2000-02-09,22.98,23.0,22.52,22.77,90900.0,22.77
2000-02-10,22.67,22.67,22.0,22.0,149100.0,22.0
2000-02-11,22.23,22.23,21.52,21.58,166800.0,21.58
2000-02-14,21.64,21.86,21.52,21.69,209200.0,21.69
2000-02-15,21.86,22.19,21.66,22.17,54500.0,22.17
2000-02-16,22.12,22.14,21.69,21.86,315500.0,21.86
2000-02-17,21.88,22.06,21.53,21.53,113700.0,21.53
2000-02-18,21.59,21.62,21.06,21.28,191300.0,21.28
2000-02-22,21.47,21.72,21.11,21.62,266600.0,21.62
2000-02-23,21.62,21.64,21.11,21.16,103200.0,21.16
2000-02-24,21.17,21.17,20.45,20.72,166100.0,20.72
2000-02-25,20.58,20.8,20.09,20.2,258800.0,20.2
2000-02-28,20.45,20.73,20.11,20.59,222000.0,20.59
2000-02-29,20.73,20.81,20.5,20.52,131300.0,20.52
2000-03-01,20.73,20.62,20.25,20.33,295500.0,20.33
2000-03-02,20.73,20.47,20.17,20.38,1447500.0,20.38
2000-03-03,20.73,20.5,20.19,20.27,220900.0,20.27
2000-03-06,20.73,20.31,19.78,19.78,315100.0,19.78
2000-03-07,19.2,19.2,18.34,18.72,224100.0,18.72
2000-03-08,18.94,19.5,18.61,19.3,309900.0,19.3
2000-03-09,19.36,19.97,19.25,19.81,1267300.0,19.81
2000-03-10,19.81,20.0,19.44,19.58,1967700.0,19.58
2000-03-13,19.16,19.58,19.12,19.27,1061900.0,19.27
2000-03-14,19.5,19.5,19.0,19.16,552800.0,19.16
2000-03-15,19.17,20.47,19.03,20.38,1554200.0,20.38
2000-03-16,21.0,21.62,20.75,21.5,580200.0,21.5
2000-03-17,21.62,21.64,20.92,21.09,116000.0,21.09
2000-03-20,21.2,21.2,20.66,20.91,563400.0,20.91
2000-03-21,20.95,21.3,20.77,21.3,32600.0,21.3
2000-03-22,21.05,21.19,20.8,21.12,132900.0,21.12
2000-03-23,21.11,21.34,20.84,20.95,126400.0,20.95
2000-03-24,21.0,21.16,20.52,20.58,231100.0,20.58
2000-03-27,20.78,20.78,20.3,20.31,52200.0,20.31
2000-03-28,20.3,20.66,20.25,20.55,71600.0,20.55
2000-03-29,20.69,21.12,20.56,21.05,36200.0,21.05
2000-03-30,20.69,21.5,20.97,21.33,62200.0,21.33
2000-03-31,21.0,21.5,20.94,21.22,439800.0,21.22
2000-04-03,21.62,22.19,21.36,22.19,76600.0,22.19
2000-04-04,22.06,23.0,21.92,22.81,823600.0,22.81
2000-04-05,22.75,22.75,22.34,22.5,38600.0,22.5
