date,open,high,low,close,volume,adjusted_close
2000-01-03,11.31,11.31,11.0,11.0,3800.0,11.0
2000-01-04,10.75,10.81,10.56,10.75,9700.0,10.75
2000-01-05,10.56,10.81,10.56,10.81,3600.0,10.81
2000-01-06,10.5,10.69,10.5,10.69,5800.0,10.69
2000-01-07,10.75,10.75,10.62,10.62,19300.0,10.62
2000-01-10,10.94,11.12,10.88,11.0,10000.0,11.0
2000-01-11,11.06,11.25,11.06,11.06,11000.0,11.06
2000-01-12,10.75,10.94,10.75,10.88,5400.0,10.88
2000-01-13,10.88,11.0,10.88,10.94,207500.0,10.94
2000-01-14,11.06,11.25,11.06,11.25,13800.0,11.25
2000-01-18,11.12,11.25,11.0,11.25,13200.0,11.25
2000-01-19,11.0,11.06,10.88,11.0,6300.0,11.0
2000-01-20,11.19,11.19,10.94,11.06,6700.0,11.06
2000-01-21,11.0,11.12,10.94,10.94,3200.0,10.94
2000-01-24,10.75,10.88,10.62,10.62,27500.0,10.62
2000-01-25,10.75,10.75,10.56,10.69,13500.0,10.69
2000-01-26,10.62,10.81,10.62,10.75,6100.0,10.75
2000-01-27,10.81,10.81,10.75,10.75,5300.0,10.75
2000-01-28,10.88,10.88,10.12,10.38,32900.0,10.38
2000-01-31,10.62,10.62,10.38,10.62,14000.0,10.62
2000-02-01,10.5,10.56,10.38,10.56,36300.0,10.56
2000-02-02,10.75,10.75,10.5,10.75,22700.0,10.75
2000-02-03,10.75,10.75,10.56,10.69,12600.0,10.69
2000-02-04,10.5,10.62,10.5,10.5,30100.0,10.5
2000-02-07,10.69,10.69,10.5,10.5,5600.0,10.5
2000-02-08,10.56,10.62,10.56,10.62,9000.0,10.62
2000-02-09,10.75,10.75,10.5,10.69,101500.0,10.69
2000-02-10,10.69,10.69,10.5,10.62,7500.0,10.62
2000-02-11,10.62,10.62,10.44,10.44,4600.0,10.44
2000-02-14,10.69,10.69,10.38,10.38,25100.0,10.38
2000-02-15,10.25,10.44,10.25,10.31,3000.0,10.31
2000-02-16,10.5,10.5,10.31,10.31,8500.0,10.31
2000-02-17,10.31,10.56,10.31,10.56,22800.0,10.56
2000-02-18,10.25,10.31,10.12,10.12,22500.0,10.12
2000-02-22,10.25,10.25,10.06,10.06,7900.0,10.06
2000-02-23,10.19,10.38,10.19,10.38,12800.0,10.38
2000-02-24,10.19,10.19,10.0,10.0,56100.0,10.0
2000-02-25,10.0,10.19,10.0,10.12,13200.0,10.12
2000-02-28,10.06,10.25,10.06,10.12,9600.0,10.12
2000-02-29,10.12,10.31,10.12,10.31,11500.0,10.31
2000-03-01,10.12,10.25,10.25,10.25,5700.0,10.25
2000-03-02,10.12,10.5,10.25,10.5,14400.0,10.5
2000-03-03,10.12,10.69,10.44,10.69,18400.0,10.69
2000-03-06,10.12,10.75,10.12,10.44,133200.0,10.44
2000-03-07,10.19,10.62,10.19,10.56,9400.0,10.56
2000-03-08,10.38,10.38,10.19,10.38,11500.0,10.38
2000-03-09,10.5,10.5,10.25,10.25,4300.0,10.25
2000-03-10,10.38,10.44,10.19,10.25,10800.0,10.25
