,epoch,loss,accuracy
0,1,0.6876690710196272,62.0
1,2,0.6248297742567956,81.0
2,3,0.5614846497774124,88.0
3,4,0.5992559744045138,72.0
4,5,0.6341191437095404,69.0
5,6,0.48920566216111183,81.0
6,7,0.5242021754384041,78.0
7,8,0.5258981250226498,78.0
8,9,0.5262402221560478,78.0
9,10,0.595812295563519,72.0
10,11,0.6847755433991551,66.0
11,12,0.5202292203903198,78.0
12,13,0.44513903092592955,84.0
13,14,0.6420560395345092,66.0
14,15,0.381546170450747,88.0
15,16,0.6976805166341364,66.0
16,17,0.5673439614474773,78.0
17,18,0.44248441606760025,88.0
18,19,0.5743420869112015,75.0
19,20,0.5253286026418209,78.0
