psell,pbuy,phold,rsell,rbuy,rhold,date,name
0.16698831,0.14454122,0.68975186,0.0,0.0,1.0,2015-03-23,xlk
0.118328005,0.14411952,0.7382097,0.0,0.0,1.0,2015-03-23,xlp
0.15537103,0.10041647,0.7448186,0.0,0.0,1.0,2015-03-23,xlu
0.22492012,0.076169714,0.6976965,0.0,0.0,1.0,2015-03-23,xlv
0.2046918,-0.0035467148,0.7983076,0.0,0.0,1.0,2015-03-23,xly
0.2785941,0.027231753,0.68992734,0.0,0.0,1.0,2015-03-24,dia
0.30425286,0.008588225,0.6868187,0.0,0.0,1.0,2015-03-24,ewa
0.24128926,-0.019928902,0.77837324,0.0,0.0,1.0,2015-03-24,ewc
0.23556028,-0.03341785,0.7972522,0.0,0.0,1.0,2015-03-24,ewg
0.25226015,-0.009930879,0.7611325,0.0,0.0,1.0,2015-03-24,ewh
0.39951953,0.043796748,0.5578493,0.0,0.0,1.0,2015-03-24,ewj
0.30937874,-0.0030465722,0.6940086,0.0,0.0,1.0,2015-03-24,eww
0.27903634,-0.04486531,0.76532435,0.0,0.0,1.0,2015-03-24,spy
0.37160027,0.022417724,0.6070839,0.0,0.0,1.0,2015-03-24,xlb
0.27984425,-0.07142475,0.7923663,0.0,0.0,1.0,2015-03-24,xle
0.24614629,-0.056968927,0.81058186,1.0,0.0,0.0,2015-03-24,xlf
0.465177,-0.034108877,0.5732215,0.0,0.0,1.0,2015-03-24,xli
0.31193644,0.0046031177,0.6882007,0.0,0.0,1.0,2015-03-24,xlk
0.26067138,0.027978897,0.71410424,0.0,0.0,1.0,2015-03-24,xlp
0.2543124,0.0047961175,0.74149275,0.0,0.0,1.0,2015-03-24,xlu
0.2704522,-0.0010817647,0.73180956,0.0,0.0,1.0,2015-03-24,xlv
0.20820992,-0.033422798,0.8231567,0.0,0.0,1.0,2015-03-24,xly
0.26320678,-0.0022843778,0.740723,0.0,0.0,1.0,2015-03-25,dia
0.31853917,-0.010279357,0.69148946,0.0,0.0,1.0,2015-03-25,ewa
0.26917267,-0.02076444,0.747841,0.0,0.0,1.0,2015-03-25,ewc
0.24875513,-0.07364115,0.8230325,0.0,0.0,1.0,2015-03-25,ewg
0.23349476,-0.036419988,0.8044813,0.0,0.0,1.0,2015-03-25,ewh
0.23698014,-0.007043153,0.7686027,0.0,0.0,1.0,2015-03-25,ewj
0.2197626,-0.030308545,0.81266916,0.0,0.0,1.0,2015-03-25,eww
0.2509026,-0.0068213344,0.75682974,0.0,0.0,1.0,2015-03-25,spy
0.22271231,-0.0013813972,0.78205127,0.0,0.0,1.0,2015-03-25,xlb
0.22795191,-0.023032784,0.7954574,0.0,0.0,1.0,2015-03-25,xle
0.21229425,-0.028126627,0.81595623,0.0,0.0,1.0,2015-03-25,xlf
0.21431497,0.00974831,0.7778458,0.0,0.0,1.0,2015-03-25,xli
0.18122727,0.013393819,0.8066896,0.0,0.0,1.0,2015-03-25,xlk
0.21278892,0.005135387,0.78273463,0.0,0.0,1.0,2015-03-25,xlp
0.15189733,0.055110097,0.79571515,0.0,0.0,1.0,2015-03-25,xlu
0.11307481,0.07152669,0.8150854,0.0,0.0,1.0,2015-03-25,xlv
0.10820104,0.12564379,0.7668524,0.0,0.0,1.0,2015-03-25,xly
0.08055377,0.16010877,0.7550998,0.0,0.0,1.0,2015-03-26,dia
0.073162824,0.157246,0.7693232,0.0,0.0,1.0,2015-03-26,ewa
